,code,length_pd
0,0111Z,14
1,0112Z,12
2,0113Z,12
3,0114Z,12
4,0115Z,12
5,0116Z,12
6,0119Z,12
7,0121Z,12
8,0122Z,12
9,0123Z,12
10,0124Z,12
11,0125Z,12
12,0126Z,12
13,0127Z,12
14,0128Z,12
15,0129Z,12
16,0130Z,12
17,0141Z,12
18,0142Z,12
19,0143Z,12
20,0144Z,12
21,0145Z,12
22,0146Z,12
23,0147Z,12
24,0149Z,12
25,0150Z,12
26,0161Z,12
27,0162Z,12
28,0163Z,12
29,0164Z,12
30,0170Z,12
31,0210Z,12
32,0220Z,12
33,0230Z,12
34,0240Z,12
35,0311Z,12
36,0312Z,12
37,0321Z,12
38,0322Z,12
39,0510Z,12
40,0520Z,12
41,0610Z,12
42,0620Z,12
43,0710Z,12
44,0721Z,12
45,0729Z,12
46,0811Z,12
47,0812Z,12
48,0891Z,12
49,0892Z,12
50,0893Z,12
51,0899Z,12
52,0910Z,14
53,0990Z,12
54,1011Z,10
55,1012Z,10
56,1013A,10
57,1013B,11
58,1020Z,10
59,1031Z,12
60,1032Z,12
61,1039A,10
62,1039B,12
63,1041A,12
64,1041B,12
65,1042Z,12
66,1051A,12
67,1051B,12
68,1051C,10
69,1051D,12
70,1052Z,12
71,1061A,12
72,1061B,12
73,1062Z,12
74,1071A,10
75,1071B,11
76,1071C,10
77,1071D,11
78,1072Z,10
79,1073Z,12
80,1081Z,12
81,1082Z,10
82,1083Z,12
83,1084Z,12
84,1085Z,10
85,1086Z,12
86,1089Z,10
87,1091Z,12
88,1092Z,12
89,1101Z,12
90,1102A,12
91,1102B,12
92,1103Z,12
93,1104Z,12
94,1105Z,12
95,1106Z,12
96,1107A,12
97,1107B,12
98,1200Z,12
99,1310Z,12
100,1320Z,12
101,1330Z,12
102,1391Z,12
103,1392Z,11
104,1393Z,12
105,1394Z,12
106,1395Z,12
107,1396Z,12
108,1399Z,12
109,1411Z,12
110,1412Z,12
111,1413Z,12
112,1414Z,12
113,1419Z,12
114,1420Z,13
115,1431Z,12
116,1439Z,12
117,1511Z,12
118,1512Z,12
119,1520Z,12
120,1610A,10
121,1610B,12
122,1621Z,12
123,1622Z,12
124,1623Z,10
125,1624Z,10
126,1629Z,12
127,1711Z,12
128,1712Z,12
129,1721A,11
130,1721B,12
131,1721C,12
132,1722Z,12
133,1723Z,12
134,1724Z,12
135,1729Z,12
136,1811Z,12
137,1812Z,10
138,1813Z,12
139,1814Z,12
140,1820Z,12
141,1910Z,12
142,1920Z,12
143,2011Z,12
144,2012Z,12
145,2013A,12
146,2013B,12
147,2014Z,12
148,2015Z,12
149,2016Z,12
150,2017Z,12
151,2020Z,12
152,2030Z,12
153,2041Z,12
154,2042Z,10
155,2051Z,12
156,2052Z,12
157,2053Z,12
158,2059Z,12
159,2060Z,12
160,2110Z,12
161,2120Z,10
162,2211Z,10
163,2219Z,10
164,2221Z,10
165,2222Z,10
166,2223Z,10
167,2229A,10
168,2229B,11
169,2311Z,12
170,2312Z,10
171,2313Z,11
172,2314Z,12
173,2319Z,12
174,2320Z,12
175,2331Z,12
176,2332Z,12
177,2341Z,12
178,2342Z,12
179,2343Z,12
180,2344Z,12
181,2349Z,12
182,2351Z,12
183,2352Z,12
184,2361Z,10
185,2362Z,12
186,2363Z,12
187,2364Z,12
188,2365Z,12
189,2369Z,12
190,2370Z,10
191,2391Z,12
192,2399Z,12
193,2410Z,12
194,2420Z,12
195,2431Z,12
196,2432Z,12
197,2433Z,12
198,2434Z,12
199,2441Z,12
200,2442Z,12
201,2443Z,12
202,2444Z,12
203,2445Z,12
204,2446Z,12
205,2451Z,11
206,2452Z,12
207,2453Z,12
208,2454Z,12
209,2511Z,10
210,2512Z,10
211,2521Z,12
212,2529Z,12
213,2530Z,12
214,2540Z,12
215,2550A,11
216,2550B,10
217,2561Z,10
218,2562A,10
219,2562B,10
220,2571Z,12
221,2572Z,12
222,2573A,12
223,2573B,12
224,2591Z,12
225,2592Z,12
226,2593Z,10
227,2594Z,12
228,2599A,12
229,2599B,10
230,2611Z,12
231,2612Z,12
232,2620Z,12
233,2630Z,12
234,2640Z,12
235,2651A,12
236,2651B,12
237,2652Z,12
238,2660Z,12
239,2670Z,12
240,2680Z,12
241,2711Z,12
242,2712Z,12
243,2720Z,12
244,2731Z,12
245,2732Z,12
246,2733Z,12
247,2740Z,12
248,2751Z,12
249,2752Z,12
250,2790Z,12
251,2811Z,12
252,2812Z,12
253,2813Z,12
254,2814Z,12
255,2815Z,12
256,2821Z,12
257,2822Z,10
258,2823Z,12
259,2824Z,12
260,2825Z,11
261,2829A,12
262,2829B,12
263,2830Z,10
264,2841Z,12
265,2849Z,12
266,2891Z,12
267,2892Z,12
268,2893Z,11
269,2894Z,12
270,2895Z,12
271,2896Z,12
272,2899A,12
273,2899B,12
274,2910Z,10
275,2920Z,10
276,2931Z,12
277,2932Z,10
278,3011Z,12
279,3012Z,11
280,3020Z,12
281,3030Z,10
282,3040Z,12
283,3091Z,12
284,3092Z,12
285,3099Z,12
286,3101Z,10
287,3102Z,12
288,3103Z,12
289,3109A,12
290,3109B,10
291,3211Z,12
292,3212Z,12
293,3213Z,12
294,3220Z,12
295,3230Z,12
296,3240Z,12
297,3250A,10
298,3250B,12
299,3291Z,12
300,3299Z,12
301,3311Z,11
302,3312Z,10
303,3313Z,12
304,3314Z,12
305,3315Z,12
306,3316Z,12
307,3317Z,12
308,3319Z,12
309,3320A,10
310,3320B,10
311,3320C,12
312,3320D,12
313,3511Z,12
314,3512Z,12
315,3513Z,12
316,3514Z,12
317,3521Z,12
318,3522Z,12
319,3523Z,12
320,3530Z,12
321,3600Z,10
322,3700Z,10
323,3811Z,10
324,3812Z,12
325,3821Z,10
326,3822Z,12
327,3831Z,11
328,3832Z,10
329,3900Z,10
330,4110A,12
331,4110B,12
332,4110C,12
333,4110D,12
334,4120A,10
335,4120B,10
336,4211Z,10
337,4212Z,11
338,4213A,12
339,4213B,12
340,4221Z,10
341,4222Z,10
342,4291Z,12
343,4299Z,12
344,4311Z,12
345,4312A,10
346,4312B,10
347,4313Z,12
348,4321A,10
349,4321B,12
350,4322A,10
351,4322B,10
352,4329A,10
353,4329B,10
354,4331Z,10
355,4332A,10
356,4332B,10
357,4332C,10
358,4333Z,10
359,4334Z,10
360,4339Z,10
361,4391A,10
362,4391B,10
363,4399A,10
364,4399B,10
365,4399C,10
366,4399D,10
367,4399E,12
368,4511Z,10
369,4519Z,10
370,4520A,10
371,4520B,11
372,4531Z,10
